,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2009-08-23,Bologna,Fiorentina,1,1
1,1,2009-08-23,Palermo,Napoli,2,1
2,1,2009-08-23,Livorno,Cagliari,0,0
3,1,2009-08-23,Lazio,Atalanta,1,0
4,1,2009-08-23,Juventus,Chievo Verona,1,0
5,1,2009-08-23,Genoa,Roma,3,2
6,1,2009-08-23,Udinese,Parma,2,2
7,1,2009-08-23,Inter,Bari,1,1
8,1,2009-08-23,Siena,Milan,1,2
9,1,2009-08-23,Catania,Sampdoria,1,2
10,2,2009-08-30,Fiorentina,Palermo,1,0
11,2,2009-08-30,Napoli,Livorno,3,1
12,2,2009-08-30,Bari,Bologna,0,0
13,2,2009-08-30,Cagliari,Siena,1,3
14,2,2009-08-30,Parma,Catania,2,1
15,2,2009-08-30,Atalanta,Genoa,0,1
16,2,2009-08-30,Milan,Inter,0,4
17,2,2009-08-30,Sampdoria,Udinese,3,1
18,2,2009-08-30,Chievo Verona,Lazio,1,2
19,2,2009-08-30,Roma,Juventus,1,3
20,3,2009-09-13,Fiorentina,Cagliari,1,0
21,3,2009-09-13,Lazio,Juventus,0,2
22,3,2009-09-13,Atalanta,Sampdoria,0,1
23,3,2009-09-13,Bologna,Chievo Verona,0,2
24,3,2009-09-13,Livorno,Milan,0,0
25,3,2009-09-13,Inter,Parma,2,0
26,3,2009-09-13,Genoa,Napoli,4,1
27,3,2009-09-13,Palermo,Bari,1,1
28,3,2009-09-13,Siena,Roma,1,2
29,3,2009-09-13,Udinese,Catania,4,2
30,4,2009-09-20,Catania,Lazio,1,1
31,4,2009-09-20,Bari,Atalanta,4,1
32,4,2009-09-20,Chievo Verona,Genoa,3,1
33,4,2009-09-20,Milan,Bologna,1,0
34,4,2009-09-20,Juventus,Livorno,2,0
35,4,2009-09-20,Sampdoria,Siena,4,1
36,4,2009-09-20,Roma,Fiorentina,3,1
37,4,2009-09-20,Cagliari,Inter,1,2
38,4,2009-09-20,Napoli,Udinese,0,0
39,4,2009-09-20,Parma,Palermo,1,0
40,5,2009-09-23,Siena,Chievo Verona,0,0
41,5,2009-09-23,Bologna,Livorno,2,0
42,5,2009-09-23,Fiorentina,Sampdoria,2,0
43,5,2009-09-23,Inter,Napoli,3,1
44,5,2009-09-23,Lazio,Parma,1,2
45,5,2009-09-23,Palermo,Roma,3,3
46,5,2009-09-23,Udinese,Milan,1,0
47,5,2009-09-23,Genoa,Juventus,2,2
48,5,2009-09-23,Bari,Cagliari,0,1
49,5,2009-09-23,Atalanta,Catania,0,0
50,6,2009-09-27,Lazio,Palermo,1,1
51,6,2009-09-27,Sampdoria,Inter,1,0
52,6,2009-09-27,Livorno,Fiorentina,0,1
53,6,2009-09-27,Catania,Roma,1,1
54,6,2009-09-27,Chievo Verona,Atalanta,1,1
55,6,2009-09-27,Juventus,Bologna,1,1
56,6,2009-09-27,Napoli,Siena,2,1
57,6,2009-09-27,Parma,Cagliari,0,2
58,6,2009-09-27,Udinese,Genoa,2,0
59,6,2009-09-27,Milan,Bari,0,0
60,7,2009-10-04,Sampdoria,Parma,1,1
61,7,2009-10-04,Inter,Udinese,2,1
62,7,2009-10-04,Palermo,Juventus,2,0
63,7,2009-10-04,Roma,Napoli,2,1
64,7,2009-10-04,Siena,Livorno,0,0
65,7,2009-10-04,Fiorentina,Lazio,0,0
66,7,2009-10-04,Bari,Catania,0,0
67,7,2009-10-04,Bologna,Genoa,1,3
68,7,2009-10-04,Atalanta,Milan,1,1
69,7,2009-10-04,Cagliari,Chievo Verona,1,2
70,8,2009-10-18,Milan,Roma,2,1
71,8,2009-10-18,Udinese,Atalanta,1,3
72,8,2009-10-18,Genoa,Inter,0,5
73,8,2009-10-18,Parma,Siena,1,0
74,8,2009-10-18,Catania,Cagliari,2,1
75,8,2009-10-18,Napoli,Bologna,2,1
76,8,2009-10-18,Chievo Verona,Bari,1,2
77,8,2009-10-18,Juventus,Fiorentina,1,1
78,8,2009-10-18,Lazio,Sampdoria,1,1
79,8,2009-10-18,Livorno,Palermo,1,2
80,9,2009-10-25,Roma,Livorno,0,1
81,9,2009-10-25,Sampdoria,Bologna,4,1
82,9,2009-10-25,Inter,Catania,2,1
