,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2010-08-29,Udinese,Genoa,0,1
1,1,2010-08-29,Sampdoria,Lazio,2,0
2,1,2010-08-29,Parma,Brescia,2,0
3,1,2010-08-29,Palermo,Cagliari,0,0
4,1,2010-08-29,Milan,Lecce,4,0
5,1,2010-08-29,Fiorentina,Napoli,1,1
6,1,2010-08-29,Bologna,Inter,0,0
7,1,2010-08-29,Bari,Juventus,1,0
8,1,2010-08-29,Roma,Cesena,0,0
9,1,2010-08-29,Chievo Verona,Catania,2,1
10,2,2010-09-12,Genoa,Chievo Verona,1,3
11,2,2010-09-12,Juventus,Sampdoria,3,3
12,2,2010-09-12,Inter,Udinese,2,1
13,2,2010-09-12,Brescia,Palermo,3,2
14,2,2010-09-12,Lazio,Bologna,3,1
15,2,2010-09-12,Cesena,Milan,2,0
16,2,2010-09-12,Cagliari,Roma,5,1
17,2,2010-09-12,Lecce,Fiorentina,1,0
18,2,2010-09-12,Catania,Parma,2,1
19,2,2010-09-12,Napoli,Bari,2,2
20,3,2010-09-19,Chievo Verona,Brescia,0,1
21,3,2010-09-19,Milan,Catania,1,1
22,3,2010-09-19,Bari,Cagliari,0,0
23,3,2010-09-19,Cesena,Lecce,1,0
24,3,2010-09-19,Fiorentina,Lazio,1,2
25,3,2010-09-19,Palermo,Inter,1,2
26,3,2010-09-19,Sampdoria,Napoli,1,2
27,3,2010-09-19,Parma,Genoa,1,1
28,3,2010-09-19,Roma,Bologna,2,2
29,3,2010-09-19,Udinese,Juventus,0,4
30,4,2010-09-22,Genoa,Fiorentina,1,1
31,4,2010-09-22,Cagliari,Sampdoria,0,0
32,4,2010-09-22,Inter,Bari,4,0
33,4,2010-09-22,Lazio,Milan,1,1
34,4,2010-09-22,Brescia,Roma,2,1
35,4,2010-09-22,Napoli,Chievo Verona,1,3
36,4,2010-09-22,Juventus,Palermo,1,3
37,4,2010-09-22,Catania,Cesena,2,0
38,4,2010-09-22,Bologna,Udinese,2,1
39,4,2010-09-22,Lecce,Parma,1,1
40,5,2010-09-26,Palermo,Lecce,2,2
41,5,2010-09-26,Bari,Brescia,2,1
42,5,2010-09-26,Catania,Bologna,1,1
43,5,2010-09-26,Cesena,Napoli,1,4
44,5,2010-09-26,Chievo Verona,Lazio,0,1
45,5,2010-09-26,Fiorentina,Parma,2,0
46,5,2010-09-26,Sampdoria,Udinese,0,0
47,5,2010-09-26,Juventus,Cagliari,4,2
48,5,2010-09-26,Roma,Inter,1,0
49,5,2010-09-26,Milan,Genoa,1,0
50,6,2010-10-03,Genoa,Bari,2,1
51,6,2010-10-03,Udinese,Cesena,1,0
52,6,2010-10-03,Parma,Milan,0,1
53,6,2010-10-03,Bologna,Sampdoria,1,1
54,6,2010-10-03,Chievo Verona,Cagliari,0,0
55,6,2010-10-03,Fiorentina,Palermo,1,2
56,6,2010-10-03,Lazio,Brescia,1,0
57,6,2010-10-03,Lecce,Catania,1,0
58,6,2010-10-03,Napoli,Roma,2,0
59,6,2010-10-03,Inter,Juventus,0,0
60,7,2010-10-17,Sampdoria,Fiorentina,2,1
61,7,2010-10-17,Roma,Genoa,2,1
62,7,2010-10-17,Bari,Lazio,0,2
63,7,2010-10-17,Palermo,Bologna,4,1
64,7,2010-10-17,Juventus,Lecce,4,0
65,7,2010-10-17,Cesena,Parma,1,1
66,7,2010-10-17,Milan,Chievo Verona,3,1
67,7,2010-10-17,Cagliari,Inter,0,1
68,7,2010-10-17,Brescia,Udinese,0,1
69,7,2010-10-17,Catania,Napoli,1,1
70,8,2010-10-24,Napoli,Milan,1,2
71,8,2010-10-24,Inter,Sampdoria,1,1
72,8,2010-10-24,Parma,Roma,0,0
73,8,2010-10-24,Udinese,Palermo,2,1
74,8,2010-10-24,Bologna,Juventus,0,0
75,8,2010-10-24,Lecce,Brescia,2,1
76,8,2010-10-24,Chievo Verona,Cesena,2,1
77,8,2010-10-24,Fiorentina,Bari,2,1
78,8,2010-10-24,Genoa,Catania,1,0
79,8,2010-10-24,Lazio,Cagliari,2,1
80,9,2010-10-31,Parma,Chievo Verona,0,0
81,9,2010-10-31,Genoa,Inter,0,1
82,9,2010-10-31,Roma,Lecce,2,0
83,9,2010-10-31,Milan,Juventus,1,2
84,9,2010-10-31,Palermo,Lazio,0,1
85,9,2010-10-31,Bari,Udinese,0,2
86,9,2010-10-31,Brescia,Napoli,0,1
87,9,2010-10-31,Cagliari,Bologna,2,0
88,9,2010-10-31,Cesena,Sampdoria,0,1
89,9,2010-10-31,Catania,Fiorentina,0,0
90,10,2010-11-07,Palermo,Genoa,1,0
91,10,2010-11-07,Napoli,Parma,2,0
92,10,2010-11-07,Lazio,Roma,0,2
93,10,2010-11-07,Juventus,Cesena,3,1
94,10,2010-11-07,Inter,Brescia,1,1
95,10,2010-11-07,Fiorentina,Chievo Verona,1,0
96,10,2010-11-07,Bologna,Lecce,2,0
97,10,2010-11-07,Sampdoria,Catania,0,0
98,10,2010-11-07,Bari,Milan,2,3
99,10,2010-11-07,Udinese,Cagliari,1,1
100,11,2010-11-10,Roma,Fiorentina,3,2
101,11,2010-11-10,Parma,Sampdoria,1,0
102,11,2010-11-10,Lecce,Inter,1,1
103,11,2010-11-10,Chievo Verona,Bari,0,0
104,11,2010-11-10,Brescia,Juventus,1,1
105,11,2010-11-10,Cesena,Lazio,1,0
106,11,2010-11-10,Cagliari,Napoli,0,1
107,11,2010-11-10,Milan,Palermo,3,1
108,11,2010-11-10,Catania,Udinese,1,0
109,11,2010-11-10,Genoa,Bologna,1,0
110,12,2010-11-14,Inter,Milan,0,1
111,12,2010-11-14,Juventus,Roma,1,1
112,12,2010-11-14,Udinese,Lecce,4,0
113,12,2010-11-14,Sampdoria,Chievo Verona,0,0
114,12,2010-11-14,Bari,Parma,0,1
115,12,2010-11-14,Lazio,Napoli,2,0
116,12,2010-11-14,Palermo,Catania,3,1
117,12,2010-11-14,Cagliari,Genoa,0,1
118,12,2010-11-14,Bologna,Brescia,1,0
119,12,2010-11-14,Fiorentina,Cesena,1,0
120,13,2010-11-21,Genoa,Juventus,0,2
121,13,2010-11-21,Catania,Bari,1,0
122,13,2010-11-21,Cesena,Palermo,1,2
123,13,2010-11-21,Milan,Fiorentina,1,0
124,13,2010-11-21,Chievo Verona,Inter,2,1
125,13,2010-11-21,Lecce,Sampdoria,2,3
126,13,2010-11-21,Brescia,Cagliari,1,2
127,13,2010-11-21,Napoli,Bologna,4,1
128,13,2010-11-21,Parma,Lazio,1,1
129,13,2010-11-21,Roma,Udinese,2,0
130,14,2010-11-28,Bari,Cesena,1,1
131,14,2010-11-28,Udinese,Napoli,3,1
132,14,2010-11-28,Brescia,Genoa,0,0
133,14,2010-11-28,Palermo,Roma,3,1
134,14,2010-11-28,Sampdoria,Milan,1,1
135,14,2010-11-28,Lazio,Catania,1,1
136,14,2010-11-28,Inter,Parma,5,2
137,14,2010-11-28,Cagliari,Lecce,3,2
138,14,2010-11-28,Bologna,Chievo Verona,2,1
139,14,2010-11-28,Juventus,Fiorentina,1,1
140,15,2010-12-05,Napoli,Palermo,1,0
141,15,2010-12-05,Catania,Juventus,1,3
142,15,2010-12-05,Chievo Verona,Roma,2,2
143,15,2010-12-05,Lecce,Genoa,1,3
144,15,2010-12-05,Milan,Brescia,3,0
145,15,2010-12-05,Sampdoria,Bari,3,0
146,15,2010-12-05,Cesena,Bologna,0,2
147,15,2010-12-05,Fiorentina,Cagliari,1,0
148,15,2010-12-05,Parma,Udinese,2,1
149,15,2010-12-05,Lazio,Inter,3,1
150,16,2010-12-12,Cagliari,Catania,3,0
151,16,2010-12-12,Udinese,Fiorentina,2,1
152,16,2010-12-12,Bologna,Milan,0,3
153,16,2010-12-12,Palermo,Parma,3,1
154,16,2010-12-12,Brescia,Sampdoria,1,0
155,16,2010-12-12,Genoa,Napoli,0,1
156,16,2010-12-12,Lecce,Chievo Verona,3,2
157,16,2010-12-12,Roma,Bari,1,0
158,16,2010-12-12,Juventus,Lazio,2,1
159,16,2010-12-12,Inter,Cesena,3,2
160,17,2010-12-19,Milan,Roma,0,1
161,17,2010-12-19,Cesena,Cagliari,1,0
162,17,2010-12-19,Parma,Bologna,0,0
163,17,2010-12-19,Sampdoria,Genoa,0,1
164,17,2010-12-19,Chievo Verona,Juventus,1,1
165,17,2010-12-19,Catania,Brescia,1,0
166,17,2010-12-19,Bari,Palermo,1,1
167,17,2010-12-19,Lazio,Udinese,3,2
168,17,2010-12-19,Napoli,Lecce,1,0
169,17,2010-12-19,Fiorentina,Inter,1,2
170,18,2011-01-06,Palermo,Sampdoria,3,0
171,18,2011-01-06,Inter,Napoli,3,1
172,18,2011-01-06,Udinese,Chievo Verona,2,0
173,18,2011-01-06,Roma,Catania,4,2
174,18,2011-01-06,Brescia,Cesena,1,2
175,18,2011-01-06,Genoa,Lazio,0,0
176,18,2011-01-06,Cagliari,Milan,0,1
177,18,2011-01-06,Bologna,Fiorentina,1,1
178,18,2011-01-06,Juventus,Parma,1,4
179,18,2011-01-06,Lecce,Bari,0,1
180,19,2011-01-09,Napoli,Juventus,3,0
181,19,2011-01-09,Bari,Bologna,0,2
182,19,2011-01-09,Catania,Inter,1,2
183,19,2011-01-09,Cesena,Genoa,0,0
184,19,2011-01-09,Chievo Verona,Palermo,0,0
185,19,2011-01-09,Fiorentina,Brescia,3,2
